date,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right
731497,-777.3792,-790.8777,-786.4463,-580.7877,-1005.0847,-484.6573,-523.7038,-660.4812,-808.1083,-833.4986,-1289.4813,-813.9933
731498,1194.4721,1101.7366,1152.8593,1197.7228,1415.0759,1953.781,1177.719,1101.4327,1233.9393,765.1245,1601.864,1000.089
731499,177.9334,174.9429,122.9713,46.8478,262.484,383.6941,441.2225,213.6886,107.0775,54.9849,39.8624,135.9641
731500,-932.5154,-837.2966,-827.8907,-1020.5466,-913.4435,-1751.7643,-1362.2127,-785.6989,-929.2378,-548.0181,-1030.1494,-688.2639
731503,682.6506,724.5744,679.2514,547.9362,617.586,633.5398,704.7222,578.1583,588.452,650.2508,684.6535,684.0622
731504,-435.4694,-346.5528,-457.1352,-462.5121,-489.4504,-413.9376,-183.0521,-202.6263,-451.8055,-402.2687,-638.564,-415.7691
731505,-800.0402,-910.3524,-891.1604,-617.1491,-658.3934,-462.4285,-870.0174,-688.9469,-707.7024,-932.5402,-513.358,-1026.9493
731506,-1542.6037,-1514.149,-1219.6243,-1441.0449,-1522.9589,-1739.6597,-1195.2892,-965.9024,-1525.5405,-1007.9866,-1954.2448,-1123.6408
731507,-776.3445,-709.1201,-772.7656,-865.7391,-733.1318,-816.2241,-530.1142,-613.612,-833.0186,-706.7766,-860.7554,-835.8002
731510,-700.5709,-718.3539,-665.4327,-521.261,-865.4241,-891.2015,-983.0154,-515.9819,-494.4986,-424.2446,-564.4962,-724.9346
731511,-695.8312,-644.439,-695.1875,-411.6666,-566.6428,-941.3124,-704.8725,-556.2506,-726.1083,-379.6847,-670.7044,-619.3172
731512,-37.3304,-33.5493,-21.4127,-28.3089,-26.802,-88.3933,-89.9777,-36.223,-18.8972,-48.7755,151.9285,-11.4968
731513,-322.4829,-319.7137,-295.2936,-123.263,-307.8708,-452.3098,-435.6744,-292.0515,-239.1975,-131.9117,34.1304,-241.9392
731514,-278.9143,-325.9177,-262.9356,-272.5983,-429.3119,-430.113,-336.4288,-297.967,-204.3498,-137.1185,-290.1545,-339.9522
731517,-497.6114,-465.7906,-509.4574,-63.2692,-301.9526,-149.2373,-290.5121,-488.5489,-389.9807,-636.2719,228.9823,-469.2767
731518,-108.7011,-104.1768,-150.4577,-126.7472,-145.5625,126.2521,-5.1558,-82.5351,-72.0001,-77.0609,-4.9377,-26.859
731519,-817.0233,-768.3931,-799.0174,-761.8926,-888.3121,-1174.5692,-776.9961,-759.2494,-840.0855,-588.4217,-906.6829,-776.3011
731520,-126.5121,-95.1315,-92.8196,90.2838,96.4297,-540.1891,60.4387,-162.2945,-128.0144,202.0856,309.2323,32.724
731521,626.2527,591.7632,655.4876,570.8323,721.9564,383.8264,563.118,618.7785,609.0482,814.8609,714.42,791.1449
731524,358.6835,305.2524,391.8045,377.1974,215.6829,230.2708,283.3011,264.8254,325.2833,481.8284,328.352,483.7214
731525,-246.3937,-253.5986,-261.8218,-165.9661,-164.4213,-330.8889,-85.8513,-243.3087,-250.3474,-201.9966,-270.6887,-155.6543
731526,934.0928,895.4671,943.3878,883.314,929.9765,1210.9944,1016.5252,896.9295,920.999,540.76,725.7681,972.1707
731527,513.2477,472.5227,536.5329,663.945,858.7961,131.2542,659.4829,510.3914,504.6527,834.4799,1151.1321,803.1408
731528,-1821.584,-2253.8931,-1659.6083,-2015.7372,-1805.2217,-2130.8523,-1753.3458,-1815.1253,-1717.2779,-1605.3414,-1725.6035,-376.5327
731531,-615.7651,-564.1604,-611.7675,-565.6817,-540.1197,-655.8975,-580.459,-604.4165,-579.8693,-594.9494,-540.4027,-599.9769
731532,400.4303,392.293,386.9015,313.8365,308.5216,640.4556,514.8915,386.0524,476.0829,60.1543,-30.5331,268.6511
731533,-867.6426,-866.3424,-839.4297,-794.5194,-687.5258,-647.4172,-855.4694,-853.5628,-922.7502,-960.515,-716.0087,-875.6263
731534,-147.3317,-168.8223,-104.8939,32.1597,-309.1846,52.2616,-123.8049,-160.5783,-180.2504,-237.3808,-444.9567,-34.0166
731535,1354.4171,1305.615,1376.6048,1260.7302,1095.1877,1083.4653,1224.8587,1326.5669,1450.7267,1345.1489,972.8582,1392.9043
731538,-534.7243,-504.2136,-521.2256,-605.8842,-489.7872,-920.0555,-405.5713,-574.7523,-578.4173,-216.6859,-628.4222,-470.4457
731539,-1555.1899,-1530.1566,-1553.3744,-1466.1237,-1343.2205,-1505.9225,-1581.808,-1581.5167,-1572.8373,-1462.146,-1544.0446,-1560.6339
731540,-477.4564,-474.4571,-504.3948,-397.8818,-516.5492,-366.9807,-394.1933,-522.8997,-430.9099,-517.7733,-625.1986,-462.3362
731541,953.8472,918.5431,994.2756,923.1445,823.0593,926.7387,663.8564,951.6437,930.9649,913.8477,971.9027,999.4541
731542,-296.3612,-296.2891,-227.3446,-209.8015,-388.9234,-25.4715,-292.0174,-299.3498,-497.6425,-333.3559,-330.7103,-216.7678
731545,-881.0484,-948.6195,-882.4936,-660.2319,-933.5557,-1013.6146,-643.0059,-931.0469,-934.751,-776.9139,-882.516,-938.1555
731546,-198.5127,-192.7626,-198.1981,-235.9243,-187.4104,-250.4669,-280.169,-228.1458,-97.486,-235.5094,111.5324,-179.873
731547,-572.2931,-541.8713,-599.4164,-538.9431,-577.7638,-716.306,-439.696,-565.3379,-667.0073,-460.4284,-900.5716,-672.692
731548,117.5871,101.2338,102.836,117.2919,52.0658,231.4678,158.6563,52.6164,114.2757,103.2954,268.2699,162.0691
731549,388.8775,364.6359,393.7081,480.3477,391.0153,613.2192,330.9263,362.3954,376.1448,134.7409,541.3306,392.5971
731552,218.8277,215.058,256.0512,147.345,180.458,152.231,210.0294,161.8422,203.6591,205.9989,105.3559,335.7832
731553,0.72214,13.9036,-18.3933,31.1059,-66.412,158.5216,-57.0606,79.5328,16.002,-163.8056,189.3033,-68.2232
