Date,Price,Open,High,Low,Change %
2002/12/19,1.604,1.6039,1.6058,1.5982,0.11%
2002/12/20,1.6025,1.6042,1.6053,1.6003,-0.09%
2002/12/23,1.5936,1.6026,1.6063,1.5867,-0.56%
2002/12/24,1.595,1.5933,1.5976,1.5895,0.09%
2002/12/25,1.5959,1.595,1.5984,1.5925,0.06%
2002/12/26,1.6,1.5963,1.6004,1.5939,0.26%
2002/12/27,1.6039,1.5996,1.6043,1.5897,0.24%
2002/12/30,1.6048,1.6035,1.6061,1.6013,0.06%
2002/12/31,1.6113,1.6041,1.6136,1.6005,0.41%
2003/1/1,1.6105,1.6106,1.6116,1.6093,-0.05%
2003/1/2,1.5942,1.611,1.6113,1.5917,-1.01%
2003/1/3,1.6094,1.5943,1.6108,1.5907,0.95%
2003/1/6,1.6084,1.609,1.6164,1.6065,-0.06%
2003/1/7,1.6046,1.6083,1.6091,1.6019,-0.24%
2003/1/8,1.613,1.6039,1.6151,1.5964,0.52%
2003/1/9,1.6063,1.6128,1.6167,1.6029,-0.42%
2003/1/10,1.6079,1.6068,1.615,1.6043,0.10%
2003/1/13,1.6002,1.6088,1.6098,1.5991,-0.48%
2003/1/14,1.6052,1.6,1.6119,1.5987,0.31%
2003/1/15,1.6048,1.6052,1.6075,1.5955,-0.02%
2003/1/16,1.6109,1.6056,1.6153,1.6019,0.38%
2003/1/17,1.6139,1.6106,1.62,1.6085,0.19%
2003/1/20,1.6077,1.6119,1.6197,1.6035,-0.38%
2003/1/21,1.6174,1.6084,1.6183,1.6014,0.60%
2003/1/22,1.6183,1.6183,1.6195,1.6088,0.06%
2003/1/23,1.6233,1.6204,1.6244,1.6151,0.31%
2003/1/24,1.6328,1.6227,1.6364,1.6208,0.59%
2003/1/27,1.6368,1.6332,1.6415,1.6284,0.24%
2003/1/28,1.6406,1.6366,1.6416,1.6303,0.23%
2003/1/29,1.647,1.6412,1.6499,1.6391,0.39%
2003/1/30,1.6549,1.6479,1.6555,1.6399,0.48%
2003/1/31,1.6478,1.6546,1.6573,1.6424,-0.43%
2003/2/3,1.6433,1.6482,1.6484,1.6359,-0.27%
2003/2/4,1.6494,1.6437,1.6498,1.641,0.37%
2003/2/5,1.641,1.6491,1.6539,1.6386,-0.51%
2003/2/6,1.6381,1.6401,1.6479,1.6338,-0.18%
2003/2/7,1.6314,1.638,1.6385,1.6235,-0.41%
2003/2/10,1.6263,1.632,1.6358,1.6262,-0.31%
2003/2/11,1.6186,1.6257,1.6269,1.6141,-0.47%
2003/2/12,1.617,1.6188,1.6225,1.613,-0.10%
2003/2/13,1.6193,1.6155,1.6246,1.6153,0.14%
2003/2/14,1.6143,1.6193,1.6231,1.6099,-0.31%
2003/2/17,1.5991,1.6107,1.612,1.5971,-0.94%
2003/2/18,1.5905,1.5978,1.6038,1.5901,-0.54%
2003/2/19,1.5972,1.5904,1.5979,1.5895,0.42%
2003/2/20,1.5934,1.5976,1.6023,1.5909,-0.24%
2003/2/21,1.5795,1.5935,1.598,1.5771,-0.87%
2003/2/24,1.5876,1.5757,1.5881,1.5742,0.51%
2003/2/25,1.5738,1.5876,1.5893,1.5703,-0.87%
2003/2/26,1.5822,1.5739,1.5841,1.5719,0.53%
2003/2/27,1.5799,1.5843,1.5877,1.5759,-0.15%
2003/2/28,1.5737,1.5804,1.5844,1.573,-0.39%
2003/3/3,1.5787,1.5728,1.581,1.5711,0.32%
2003/3/4,1.5816,1.579,1.586,1.5783,0.18%
2003/3/5,1.6007,1.5813,1.6045,1.5808,1.21%
2003/3/6,1.6035,1.6016,1.6069,1.5987,0.17%
2003/3/7,1.6028,1.6042,1.6096,1.5963,-0.04%
2003/3/10,1.6019,1.6022,1.6039,1.593,-0.06%
2003/3/11,1.6072,1.6015,1.608,1.5977,0.33%
2003/3/12,1.6132,1.6077,1.6159,1.6046,0.37%
2003/3/13,1.6008,1.613,1.6138,1.5999,-0.77%
2003/3/14,1.5835,1.6003,1.6027,1.5791,-1.08%
2003/3/17,1.5696,1.5862,1.5907,1.5665,-0.88%
