date,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right,value_left,value_right,value
736377,493539518.648,483284437.8454,727453692.4797,476198929.9312,502264346.7084,464915346.3776,507193516.1834,447019092.8073,511808926.9333,464267542.8571,441474713.1914
736378,494701823.8875,484668768.6565,736423297.317,477424151.151,503541872.2508,466203488.022,507646466.9914,448098842.5235,512901811.7146,465550776.316,442423787.6209
736379,493252338.9792,482991483.3015,728588365.9626,475522697.6898,502522739.947,464666294.5003,506748513.3235,446862475.1249,511282757.0677,464311232.2489,441127846.6776
736382,492449045.5817,482537051.5702,729999353.7087,474709976.1654,502459499.8292,463603146.8422,506284284.5605,445993596.3287,510641297.931,463408683.405,439952921.5559
736383,492102992.2112,482244141.1118,728967724.0958,474113997.4607,502114327.7592,463653515.8666,506035494.5636,445663981.6393,510251522.7886,462722946.8727,440045265.4795
736384,492297334.5385,482392107.229,726459281.0234,474462500.5638,502157099.7342,464318778.9644,506837084.9031,445804073.2023,510607705.6969,462487997.4402,440417336.5681
736385,493933827.8235,483933156.7341,727679366.5189,476130490.0077,503673630.1878,464549897.4649,507877661.9365,447278176.9709,512306940.7363,464513751.0206,441736613.6435
736386,491266896.7166,481199072.6081,726325091.823,473921824.8535,501444927.4123,462683511.3594,505463699.0944,444796520.7328,509430282.0152,462060585.9409,439719765.2925
736389,490491849.6816,480601543.0681,726567809.4139,473220832.1375,500771489.6852,461530236.0331,505232134.388,444032763.1417,508891646.9449,462388432.8873,439279368.9148
736390,492345221.3787,482558564.2509,734453267.3564,475518927.7031,502584906.0075,462753195.2857,507640251.4062,445564810.3993,511086734.0276,465004483.6239,439634027.7642
736391,494317114.2962,484565587.4029,737134749.0624,477339635.1885,503932963.7288,464400262.4227,509753085.8709,447309230.9752,513343452.1312,467442934.7131,441725853.0687
736392,498253445.1319,488524238.9519,745750261.2411,481518943.6487,506892036.0387,468112720.2913,513081726.4737,450836228.1198,517492560.1264,471091370.0029,443988845.6024
736393,504532594.6442,494696376.0497,755156924.1948,487972985.7689,511867667.9742,474004823.2447,518763988.095,456058908.9571,524085574.7282,477236635.2191,449351843.7702
736396,504555810.8636,494876606.9209,760693673.4028,488289449.6045,512101001.6332,474581544.3057,519326142.6297,456129865.621,524710298.8866,477301481.1498,450002764.4785
736397,499167861.7704,489661951.5053,749545969.0742,482570158.646,507317832.2178,469615563.726,513676055.7373,451201225.4207,517921554.1934,471499049.5989,445838642.235
736398,502972886.7971,493365192.2804,751928669.539,486301948.9014,510460205.7908,473249870.695,518135371.447,454456604.8703,522400171.2667,474681361.4772,449143351.6431
736399,502368426.7611,492987224.2672,755728624.0263,485694312.4708,508957035.3918,473117266.6533,516771833.5795,453810191.4358,521303508.6921,473888820.9801,448663703.1152
736400,511698390.5616,502096305.5514,766124313.6076,494965245.4503,516246879.8215,480879940.2871,525646847.3244,462150357.9838,532403445.2914,483322791.3344,456188930.8936
736403,508027997.9275,498441230.2032,759958507.1362,491563682.1391,513166948.4164,477431741.6248,522466952.1574,458703595.1128,528427714.7335,480002536.2346,452884988.0909
736404,502517828.4941,493073383.3307,749427170.3843,486447444.6026,508286262.4774,472397911.4489,517727203.0737,453507981.4517,522466716.1055,474848179.4021,448517009.4406
736405,513736851.3502,503903384.3065,759824511.6032,497011689.5152,517637455.5657,481827665.0444,527458175.5665,463903112.2933,534285569.3153,485321874.3645,457340519.7608
736406,530234467.0781,520149410.3403,789450178.5071,512519420.3241,531665224.5868,496870199.6363,542945158.3311,479146083.0694,553465068.2577,501009547.2522,471890824.0729
736407,524201369.0266,514324044.0021,785341144.4561,507057600.553,527002020.2592,491841549.7072,537389319.758,473597594.9294,547254788.4056,495543251.489,466273234.8474
736410,522873401.3688,512975850.6112,782007781.4129,505956424.4316,525701569.6233,490562057.1174,536331366.1654,472262182.1846,545752551.4993,494320658.2802,465117155.7136
736411,527043246.7894,517262125.985,796677644.5293,510634134.208,529705472.7404,495538907.0852,540071000.9989,476119659.2552,549799834.7561,498366583.1949,468813884.6121
736412,514375267.2734,504824887.6271,785161882.5848,498579379.6618,519169397.2976,484098787.4406,527708877.3161,464641727.642,535626556.0269,486804798.3052,457609901.18
736413,511063925.8333,501503259.6746,776373840.3733,495296565.5372,516515850.5582,480955254.7575,525322382.4343,461617003.5645,532165480.7561,483793377.1574,454666906.2315
736414,511409413.9728,501775318.8529,775419560.0678,495604896.9663,516650918.6995,480876588.016,525710180.1413,461831608.745,532680101.9791,484174113.6813,454867385.4339
736417,515138276.4999,505688614.5558,783852628.181,499441180.3249,520180051.1921,485278552.302,529990144.9491,465342041.7954,537135255.5434,487768132.7447,458268869.8276
736418,519930826.6817,510267287.6853,790716614.2624,503327673.7389,524712288.9616,489316674.5482,532987576.8018,470184449.9279,542271792.629,492448388.1193,462318763.1318
736419,531673591.9988,521843338.4998,812516917.0151,514482726.5116,534999949.8918,500471228.0454,543576752.5618,481013504.9269,554718306.6428,503674037.4995,472624290.2713
736420,536127158.0199,526327893.7128,823645628.7276,518810381.1736,538838519.38,505115826.5238,547988702.0276,485052957.551,559651116.7085,507725203.581,476780646.6015
736421,532370968.0699,522685130.5229,821697560.7847,514814227.3666,535847276.2131,501789632.96,543903367.9252,482030182.1002,555638452.1222,503854011.4269,473668276.8528
736424,527308981.8849,517629028.4466,814122755.7969,509723486.4656,531526829.466,496717832.1088,539249933.2298,477045859.8077,549995864.8194,499225582.4216,469128321.3408
736425,521001910.913,511422334.1901,804062011.4367,503393744.8507,525848843.4242,490649957.7271,533046630.0762,471280874.4972,543330225.5316,493284592.881,463654333.1297
736426,524813197.3836,515219420.8567,809038558.9459,507116985.7227,529131360.1232,494444768.154,535973708.3757,474817172.842,547328078.6187,496656621.0513,467113958.807
736427,519883515.0031,510520794.58,804032691.375,502054218.3812,524178360.0186,489442620.8503,530511166.2452,470241131.1394,541996382.3301,492482322.6601,462648692.3905
736428,526747475.6896,517375735.0245,813013607.2195,508399664.8702,530069659.8915,495831560.5441,535924508.6171,476708206.5735,549305551.6896,498645425.5579,468999813.81
736431,535017785.1215,525604759.5736,823770069.9157,516376799.1777,537873998.5368,504429891.9786,542747239.1294,484307517.5284,558254726.8332,505753136.1305,476429070.5673
736432,538597639.2759,529163329.278,829492077.6021,520075971.9442,541548562.0106,508606578.899,545827850.0736,487569901.0533,562183449.4621,508556086.2506,479627967.3312
736433,534466796.6943,525112002.6068,826986628.1163,516246084.0158,538049087.2981,505364064.6118,542536210.9046,483498156.2525,558132933.9076,504361226.3077,475748978.1788
736434,533326122.0424,523934982.1463,822233136.3764,514928234.8351,537451777.1723,504516691.2366,542066737.4241,482362647.9926,557196154.9743,503023778.9439,474811822.0591
736435,534315102.2673,524896781.7665,820648346.9743,515944694.9642,538067982.5239,505081967.6613,542914682.2542,483251510.6837,558082850.1618,504011346.0014,475671459.257
736438,537756788.4643,528253173.1087,820751618.6536,519435867.137,541140735.4317,508518002.2769,546508515.7477,486236003.2054,561707769.2384,506832317.3357,478918113.9573
